temp, humidity, soilMoisture
27.1, 51.8, 88.9
27.0, 51.9, 88.8
27.1, 52.0, 88.8
27.1, 52.0, 88.8
27.1, 51.9, 88.8
27.1, 51.8, 88.8
27.1, 51.9, 88.8
27.0, 52.1, 88.8
27.0, 52.1, 88.8
27.0, 52.1, 88.8
27.0, 51.8, 88.7
27.0, 51.8, 88.7
27.0, 52.0, 88.7
27.0, 52.1, 88.7
27.0, 51.9, 88.7
27.0, 51.9, 88.7
27.0, 51.9, 88.7
26.9, 51.9, 88.7
26.9, 51.9, 88.7
26.9, 51.9, 88.7
26.9, 52.0, 88.6
26.9, 52.1, 88.6
26.9, 52.2, 88.6
26.9, 52.2, 88.6
26.9, 52.2, 88.6
26.9, 52.6, 88.5
26.9, 53.1, 88.5
26.9, 53.1, 88.5
26.9, 53.5, 88.5
27.0, 53.6, 88.5
27.0, 53.6, 88.5
27.0, 53.6, 88.5
27.0, 54.0, 88.5
27.0, 54.2, 88.4
27.0, 53.8, 88.4
27.0, 53.6, 88.4
27.0, 53.3, 88.4
27.1, 53.1, 88.4
27.1, 53.1, 88.4
27.1, 53.2, 88.4
27.1, 53.4, 88.4
27.1, 53.2, 88.4
27.1, 53.1, 88.5
27.1, 53.2, 88.5
27.1, 53.2, 88.4
27.1, 53.3, 88.4
27.1, 53.4, 88.4
27.2, 53.5, 88.4
27.1, 53.2, 88.4
27.2, 53.2, 88.4
27.2, 53.2, 88.4
27.2, 53.2, 88.4
27.2, 52.9, 88.4
27.2, 53.0, 88.4
27.2, 53.0, 88.4
27.2, 52.9, 88.4
27.2, 52.9, 88.4
27.2, 52.9, 88.4
27.2, 53.0, 88.4
27.2, 52.9, 88.4
27.2, 53.0, 88.4
27.2, 53.1, 88.3
27.2, 53.0, 88.3
27.2, 53.0, 88.3
27.2, 53.1, 88.3
27.2, 53.3, 88.3
27.2, 53.3, 88.3
27.2, 53.4, 88.3
27.2, 53.5, 88.3
27.2, 53.6, 88.3
27.2, 53.6, 88.3
27.2, 53.7, 88.3
27.2, 53.7, 88.3
27.2, 53.7, 88.3
27.2, 54.1, 88.3
27.2, 54.4, 88.3
27.2, 54.6, 88.3
27.2, 54.5, 88.2
27.2, 54.4, 88.2
27.2, 54.6, 88.2
27.2, 55.0, 88.2
27.2, 55.0, 88.2
27.2, 55.5, 88.3
27.2, 56.1, 88.3
27.2, 56.1, 88.3
27.2, 56.0, 88.4
27.2, 56.2, 88.5
27.2, 56.4, 88.4
27.2, 56.5, 88.4
27.2, 56.4, 88.5
27.2, 56.6, 88.5
27.2, 56.0, 88.4
27.2, 56.5, 88.4
27.2, 56.4, 88.5
27.2, 56.1, 88.5
27.2, 55.7, 88.4
27.2, 55.8, 88.4
27.2, 55.5, 88.4
27.2, 55.3, 88.4
27.2, 55.1, 88.5
27.2, 54.9, 88.5
27.2, 55.0, 88.5
27.2, 55.1, 88.5
27.2, 55.0, 88.5
27.2, 54.9, 88.4
27.2, 54.8, 88.4
27.2, 54.9, 88.4
27.2, 55.0, 88.4
27.2, 55.0, 88.4
27.2, 55.2, 88.4
27.2, 55.3, 88.3
27.2, 55.1, 88.3
27.2, 55.1, 88.3
27.2, 55.0, 88.3
27.2, 55.1, 88.3
27.2, 55.4, 88.3
27.2, 55.7, 88.3
27.2, 55.9, 88.3
27.2, 55.9, 88.3
27.2, 55.6, 88.3
27.2, 55.4, 88.3
27.2, 55.4, 88.3
27.2, 55.4, 88.3
27.2, 55.5, 88.3
27.2, 55.4, 88.3
27.2, 55.3, 88.3
27.2, 55.4, 88.3
27.2, 55.5, 88.3
27.2, 55.8, 88.3
27.2, 55.8, 88.3
27.2, 56.1, 88.4
27.2, 55.7, 88.4
27.2, 55.6, 88.4
27.2, 55.7, 88.3
27.3, 55.7, 88.3
27.2, 55.6, 88.3
27.2, 55.6, 88.3
27.3, 55.5, 88.3
27.2, 55.7, 88.3
27.3, 55.9, 88.3
27.3, 56.4, 88.2
27.3, 56.7, 88.2
27.3, 57.0, 88.2
27.3, 57.1, 88.2
27.3, 57.2, 88.2
27.3, 56.9, 88.3
27.3, 56.9, 88.3
27.3, 56.5, 88.3
27.3, 56.4, 88.2
27.3, 56.3, 88.2
27.3, 56.2, 88.2
27.3, 56.1, 88.2
27.3, 56.0, 88.1
27.3, 55.9, 88.1
27.3, 55.9, 88.1
27.3, 55.9, 88.1
27.3, 55.9, 88.0
27.3, 55.9, 88.0
27.3, 55.9, 88.0
27.3, 55.8, 88.0
27.3, 55.9, 88.0
27.3, 55.9, 88.0
27.3, 55.9, 87.9
27.3, 55.8, 87.9
27.3, 55.8, 87.9
27.3, 55.9, 88.0
27.3, 56.0, 88.0
27.3, 56.0, 88.0
27.3, 56.1, 88.0
27.3, 56.1, 87.9
27.3, 56.1, 87.9
27.3, 56.1, 87.9
27.3, 56.1, 87.9
27.3, 56.1, 87.9
27.3, 56.2, 87.8
27.3, 56.2, 87.8
27.3, 56.2, 87.8
27.3, 56.3, 87.8
27.3, 56.4, 87.8
27.3, 56.5, 87.8
27.3, 56.6, 87.8
27.3, 56.6, 87.8
27.3, 56.6, 87.7
27.3, 56.5, 87.7
27.3, 56.5, 87.7
27.3, 56.5, 87.6
27.4, 56.5, 87.6
27.4, 56.5, 87.6
27.4, 56.4, 87.6
27.4, 56.4, 87.5
27.4, 56.4, 87.6
27.4, 56.4, 87.6
27.4, 56.5, 87.5
27.4, 56.5, 87.5
27.4, 56.5, 87.4
27.4, 56.4, 87.4
27.4, 56.4, 87.4
27.4, 56.5, 87.3
27.4, 56.5, 87.3
27.4, 56.4, 87.2
27.4, 56.4, 87.2
27.4, 56.5, 87.2
27.4, 56.6, 87.1
27.4, 56.6, 87.1
27.4, 56.6, 87.1
27.4, 56.6, 87.0
27.4, 56.5, 87.0
27.4, 56.6, 86.9
27.4, 56.6, 86.9
27.4, 56.6, 86.8
27.4, 56.7, 86.8
27.4, 56.6, 86.8
27.4, 56.5, 86.7
27.4, 56.0, 86.6
27.4, 55.1, 86.6
27.3, 54.6, 86.5
27.2, 54.7, 86.4
27.2, 54.2, 86.4
27.1, 54.2, 86.4
27.1, 54.4, 86.4
27.0, 54.5, 86.4
27.0, 54.6, 86.3
27.0, 54.6, 86.3
26.9, 54.8, 86.3
26.9, 54.9, 86.3
26.9, 54.9, 86.3
26.9, 54.8, 86.3
26.8, 54.7, 86.3
26.8, 54.6, 86.2
26.8, 54.7, 86.2
26.7, 54.7, 86.2
26.7, 54.7, 86.2
26.7, 54.7, 86.2
26.7, 54.7, 86.2
26.7, 54.9, 86.2
26.7, 55.3, 86.1
26.7, 55.1, 86.1
26.8, 55.5, 86.1
26.8, 55.1, 86.1
26.8, 54.9, 86.1
26.9, 54.6, 86.1
26.9, 54.4, 86.1
26.9, 54.0, 86.0
26.9, 53.9, 86.0
26.6, 54.1, 86.0
27.0, 53.8, 86.0
27.0, 53.7, 86.0
27.0, 53.5, 85.9
27.0, 53.6, 85.9
27.0, 53.3, 85.9
27.0, 53.4, 86.0
27.0, 53.5, 86.1
27.0, 53.6, 86.1
27.0, 52.9, 86.0
27.0, 52.9, 86.0
27.0, 53.8, 86.0
27.1, 53.9, 85.9
27.1, 53.7, 86.0
27.1, 54.0, 86.0
27.1, 53.4, 85.9
27.1, 53.1, 85.9
27.2, 53.0, 85.8
27.2, 52.7, 85.8
27.2, 52.5, 85.8
27.2, 52.6, 85.7
27.2, 52.5, 85.7
27.2, 52.3, 85.7
27.3, 52.2, 85.7
27.3, 52.2, 85.6
27.3, 52.1, 85.6
27.3, 51.7, 85.5
27.3, 51.7, 85.5
27.3, 51.2, 85.4
27.3, 50.8, 85.4
27.3, 50.7, 85.3
27.3, 50.8, 85.3
27.2, 51.0, 85.3
27.2, 50.9, 85.2
27.2, 51.1, 85.2
27.2, 51.2, 85.1
27.2, 51.2, 85.1
27.3, 51.5, 85.1
27.3, 51.6, 85.0
27.3, 51.8, 85.0
27.3, 51.5, 84.9
27.3, 51.2, 84.9
27.3, 50.9, 84.8
27.3, 50.8, 84.8
27.4, 50.8, 84.7
27.4, 50.9, 84.7
27.4, 50.8, 84.6
27.4, 50.7, 84.5
27.4, 50.9, 84.4
27.4, 51.2, 84.4
27.4, 51.2, 84.3
27.5, 51.1, 84.2
27.5, 51.0, 84.1
27.5, 51.1, 84.0
27.5, 50.7, 83.9
27.5, 50.6, 83.9
27.5, 50.7, 83.8
27.5, 50.6, 83.8
27.6, 50.4, 83.7
27.6, 50.5, 83.6
27.6, 50.2, 83.4
27.6, 49.7, 83.4
27.6, 49.7, 83.3
27.6, 49.7, 83.2
27.5, 49.8, 83.1
27.5, 49.5, 83.0
27.5, 49.4, 83.0
27.5, 49.4, 82.9
27.5, 49.2, 82.9
27.5, 49.1, 82.8
27.5, 49.1, 82.7
27.5, 48.9, 82.7
27.5, 49.3, 82.7
27.5, 49.1, 82.6
27.4, 49.4, 82.6
27.4, 49.6, 82.6
27.4, 49.5, 82.6
27.4, 49.6, 82.6
27.4, 49.7, 82.5
27.4, 49.7, 82.4
27.4, 49.4, 82.4
27.4, 49.3, 82.4
27.4, 49.7, 82.3
27.4, 50.4, 82.3
27.4, 50.5, 82.2
27.4, 49.8, 82.1
27.4, 49.7, 82.1
27.4, 49.4, 82.1
27.4, 49.6, 81.9
27.4, 49.6, 81.9
27.4, 49.5, 81.9
27.3, 49.7, 81.9
27.3, 49.8, 81.9
27.3, 49.5, 81.8
27.3, 49.6, 81.7
27.3, 49.8, 81.7
27.3, 49.8, 81.7
27.2, 49.6, 81.7
27.2, 49.4, 81.6
27.2, 49.7, 81.6
